Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player-additional
1,Tariq Abdul-Wahad,SG,27,TOT,24,441,9.8,.418,.014,.224,10.1,11.6,10.8,8.8,2.4,1.7,14.3,19.1,,-0.3,0.3,0.0,-0.003,,-3.4,-0.3,-3.7,-0.2,abdulta01
1,Tariq Abdul-Wahad,SG,27,DEN,20,417,10.3,.424,.014,.221,10.2,11.2,10.7,8.7,2.3,1.6,13.1,19.7,,-0.2,0.3,0.0,.005,,-3.1,-0.5,-3.6,-0.2,abdulta01
1,Tariq Abdul-Wahad,SG,27,DAL,4,24,0.3,.000,.000,.500,9.4,18.2,13.9,10.4,4.3,3.0,55.1,10.2,,-0.1,0.0,-0.1,-0.128,,-9.0,2.7,-6.3,0.0,abdulta01
2,Shareef Abdur-Rahim,PF,25,ATL,77,2980,19.8,.536,.054,.403,7.6,19.2,13.3,15.1,1.7,2.0,14.1,27.0,,4.1,3.1,7.2,.116,,1.9,-0.2,1.7,2.8,abdursh01
3,Courtney Alexander,SG,24,WAS,56,1325,13.6,.521,.038,.255,3.7,9.3,6.5,11.3,1.4,0.4,10.2,20.4,,1.6,0.6,2.2,.080,,-0.9,-1.3,-2.2,-0.1,alexaco02
4,Victor Alexander,C,32,DET,15,97,9.2,.367,.039,.157,8.6,26.6,17.6,11.5,0.0,0.7,8.4,28.9,,-0.3,0.1,-0.1,-0.073,,-5.3,-3.5,-8.8,-0.2,alexavi01
5,Malik Allen,PF,23,MIA,12,161,15.0,.469,.020,.196,11.0,16.6,13.8,5.5,1.0,3.8,3.5,17.0,,0.2,0.3,0.5,.141,,-1.4,0.3,-1.1,0.0,allenma01
6,Ray Allen*,SG,26,MIL,69,2525,21.6,.598,.460,.213,3.9,10.1,7.1,19.4,1.9,0.5,11.2,26.2,,7.6,1.3,8.9,.169,,6.0,-1.1,4.9,4.4,allenra02
7,Rafer Alston,PG,25,MIL,50,600,13.9,.434,.372,.152,2.0,11.4,6.9,36.4,2.8,0.2,16.4,19.0,,0.3,0.5,0.7,.059,,-0.3,-0.3,-0.7,0.2,alstora01
8,John Amaechi,PF,31,UTA,54,586,5.4,.412,.000,.633,10.6,11.8,11.2,7.8,0.6,1.4,20.6,20.6,,-1.0,0.3,-0.7,-0.056,,-5.4,-2.8,-8.2,-0.9,amaecjo01
9,Chris Andersen,C,23,DEN,24,262,13.8,.417,.054,.378,15.8,17.4,16.5,4.2,1.4,7.9,13.1,17.0,,0.0,0.3,0.3,.058,,-3.3,0.3,-3.0,-0.1,anderch01
10,Derek Anderson,SG,27,POR,70,1860,15.5,.538,.373,.340,2.9,9.1,6.0,18.6,2.0,0.3,11.0,19.4,,3.8,1.5,5.3,.137,,1.4,0.2,1.6,1.7,anderde01
11,Kenny Anderson,PG,31,BOS,76,2430,13.6,.472,.046,.184,2.5,10.1,6.2,28.1,3.0,0.3,13.3,16.7,,1.7,3.5,5.2,.103,,-2.3,1.9,-0.4,1.0,anderke01
12,Nick Anderson,SG,34,MEM,15,219,4.9,.375,.632,.118,0.5,16.3,8.4,10.2,1.4,1.9,14.9,19.5,,-0.6,0.2,-0.4,-0.080,,-5.2,-0.6,-5.9,-0.2,anderni01
13,Shandon Anderson,SG,28,NYK,82,1596,8.0,.489,.378,.287,4.1,13.9,9.0,7.7,1.6,0.7,18.8,15.1,,-0.9,1.3,0.4,.013,,-3.0,0.3,-2.8,-0.3,andersh01
14,Greg Anthony,PG,34,TOT,60,1514,12.6,.460,.343,.192,1.7,8.5,5.1,30.8,2.7,0.2,15.4,18.6,,0.2,0.9,1.1,.036,,-1.4,-0.4,-1.9,0.1,anthogr01
14,Greg Anthony,PG,34,CHI,36,961,14.2,.475,.314,.244,1.9,9.0,5.3,35.7,2.7,0.3,15.4,18.0,,0.6,0.6,1.2,.059,,-0.3,-0.2,-0.5,0.4,anthogr01
14,Greg Anthony,PG,34,MIL,24,553,10.0,.436,.388,.112,1.3,7.6,4.6,22.4,2.7,0.1,15.4,19.7,,-0.4,0.3,0.0,-0.004,,-3.4,-0.8,-4.2,-0.3,anthogr01
15,Gilbert Arenas,PG,20,GSW,47,1155,17.0,.562,.294,.417,3.7,8.7,6.1,24.8,3.0,0.6,17.6,20.1,,2.1,0.7,2.7,.114,,1.0,0.0,1.0,0.9,arenagi01
16,Brandon Armstrong,SG,21,NJN,35,196,3.8,.358,.200,.118,5.7,3.5,4.6,6.5,1.9,0.4,8.2,22.3,,-0.4,0.2,-0.2,-0.054,,-7.4,-1.7,-9.0,-0.3,armstbr01
17,Darrell Armstrong,PG,33,ORL,82,2730,16.7,.553,.481,.248,3.4,9.7,6.5,25.5,3.0,0.3,16.0,17.9,,5.0,2.6,7.6,.134,,1.6,0.8,2.4,3.0,armstda01
18,Carlos Arroyo,PG,22,TOT,37,371,12.4,.467,.018,.162,3.5,9.0,6.2,31.2,1.6,0.2,16.2,17.2,,0.2,0.1,0.4,.047,,-1.8,-1.1,-2.9,-0.1,arroyca01
18,Carlos Arroyo,PG,22,TOR,17,96,11.9,.474,.000,.207,3.5,11.1,7.2,36.3,3.4,0.0,27.5,20.7,,-0.1,0.1,0.0,.018,,-3.8,0.4,-3.4,0.0,arroyca01
