Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Mahmoud Abdul-Rauf,PG,27,SAC,75,51,2131,411,924,.445,94,246,.382,317,678,.468,.496,115,136,.846,16,106,122,189,56,6,119,174,1031,abdulma02
2,Shareef Abdur-Rahim,PF,20,VAN,80,71,2802,550,1214,.453,7,27,.259,543,1187,.457,.456,387,519,.746,216,339,555,175,79,79,225,199,1494,abdursh01
3,Rafael Addison,SF,32,CHH,41,3,355,49,122,.402,8,20,.400,41,102,.402,.434,22,28,.786,19,26,45,34,8,3,17,52,128,addisra01
4,Cory Alexander,PG,23,SAS,80,6,1454,194,490,.396,94,252,.373,100,238,.420,.492,95,129,.736,29,94,123,254,82,16,146,148,577,alexaco01
5,Jerome Allen,SG,24,TOT,76,1,943,78,221,.353,30,93,.323,48,128,.375,.421,42,72,.583,25,73,98,152,31,4,69,84,228,allenje01
5,Jerome Allen,SG,24,IND,51,1,692,57,147,.388,23,59,.390,34,88,.386,.466,27,47,.574,13,52,65,109,27,0,56,67,164,allenje01
5,Jerome Allen,SG,24,DEN,25,0,251,21,74,.284,7,34,.206,14,40,.350,.331,15,25,.600,12,21,33,43,4,4,13,17,64,allenje01
6,Ray Allen*,SG,21,MIL,82,81,2532,390,908,.430,117,298,.393,273,610,.448,.494,205,249,.823,97,229,326,210,75,10,149,218,1102,allenra02
7,Derrick Alston,C,24,ATL,2,0,11,0,5,.000,0,0,,0,5,.000,.000,0,2,.000,3,1,4,0,0,0,0,0,0,alstode01
8,Ashraf Amaya,PF,25,WSB,31,0,144,12,40,.300,1,1,1.000,11,39,.282,.313,15,28,.536,19,33,52,3,7,3,10,29,40,amayaas01
9,Greg Anderson,C,32,SAS,82,48,1659,130,262,.496,0,1,.000,130,261,.498,.496,62,93,.667,157,291,448,34,63,67,73,225,322,andergr01
10,Kenny Anderson,PG,26,POR,82,81,3081,485,1137,.427,132,366,.361,353,771,.458,.485,334,435,.768,91,272,363,584,162,15,193,222,1436,anderke01
11,Nick Anderson,SG,29,ORL,63,61,2163,288,725,.397,143,405,.353,145,320,.453,.496,38,94,.404,66,238,304,182,120,32,86,160,757,anderni01
12,Shandon Anderson,SG,23,UTA,65,0,1066,147,318,.462,24,47,.511,123,271,.454,.500,68,99,.687,52,127,179,49,27,8,73,113,386,andersh01
13,Willie Anderson,SG,30,MIA,28,1,303,29,64,.453,8,19,.421,21,45,.467,.516,17,20,.850,15,27,42,34,14,4,19,36,83,anderwi01
14,Greg Anthony,PG,29,VAN,65,44,1863,199,507,.393,88,238,.370,111,269,.413,.479,130,178,.730,25,159,184,407,129,4,129,122,616,anthogr01
15,B.J. Armstrong,PG,29,GSW,49,17,1020,148,327,.453,25,90,.278,123,237,.519,.491,68,79,.861,7,67,74,126,25,2,53,56,389,armstbj01
16,Darrell Armstrong,PG,28,ORL,67,0,1010,132,345,.383,55,181,.304,77,164,.470,.462,92,106,.868,35,41,76,175,61,9,99,114,411,armstda01
17,Vincent Askew,SG,30,TOT,43,0,838,81,186,.435,7,24,.292,74,162,.457,.454,70,88,.795,25,73,98,90,17,6,46,123,239,askewvi01
17,Vincent Askew,SG,30,NJN,1,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,1,0,askewvi01
17,Vincent Askew,SG,30,IND,41,0,822,79,183,.432,7,24,.292,72,159,.453,.451,68,86,.791,25,73,98,90,17,6,42,122,233,askewvi01
17,Vincent Askew,SG,30,DEN,1,0,9,2,3,.667,0,0,,2,3,.667,.667,2,2,1.000,0,0,0,0,0,0,4,0,6,askewvi01
18,Keith Askins,SF,29,MIA,78,30,1773,138,319,.433,69,172,.401,69,147,.469,.541,39,58,.672,86,185,271,75,53,19,59,196,384,askinke01
19,Stacey Augmon,SG,28,TOT,60,10,942,105,220,.477,0,0,,105,220,.477,.477,69,97,.711,47,91,138,56,42,17,64,87,279,augmost01
19,Stacey Augmon,SG,28,DET,20,3,292,31,77,.403,0,0,,31,77,.403,.403,28,41,.683,14,35,49,15,10,10,27,29,90,augmost01
19,Stacey Augmon,SG,28,POR,40,7,650,74,143,.517,0,0,,74,143,.517,.517,41,56,.732,33,56,89,41,32,7,37,58,189,augmost01
20,Isaac Austin,C,27,MIA,82,17,1881,321,639,.502,0,3,.000,321,636,.505,.502,150,226,.664,136,342,478,101,45,43,161,244,792,austiis01
21,Vin Baker,PF,25,MIL,78,78,3159,632,1251,.505,15,54,.278,617,1197,.515,.511,358,521,.687,267,537,804,211,81,112,245,275,1637,bakervi01
22,Charles Barkley*,PF,33,HOU,53,53,2009,335,692,.484,58,205,.283,277,487,.569,.526,288,415,.694,212,504,716,248,69,25,151,153,1016,barklch01
23,Dana Barros,PG,29,BOS,24,8,708,110,253,.435,43,105,.410,67,148,.453,.520,37,43,.860,5,43,48,81,26,6,39,34,300,barroda01
24,Brent Barry,SG,25,LAC,59,0,1094,155,379,.409,56,173,.324,99,206,.481,.483,76,93,.817,30,80,110,154,51,15,76,88,442,barrybr01
25,Jon Barry,SG,27,ATL,58,8,965,100,246,.407,48,124,.387,52,122,.426,.504,37,46,.804,26,73,99,115,55,3,59,56,285,barryjo01
26,Benoit Benjamin,C,32,TOR,4,3,44,5,12,.417,0,0,,5,12,.417,.417,3,4,.750,3,6,9,1,1,0,2,5,13,benjabe01
27,Elmer Bennett,PG,26,TOT,9,0,75,6,19,.316,3,9,.333,3,10,.300,.395,7,10,.700,0,4,4,11,4,0,10,7,22,benneel01
27,Elmer Bennett,PG,26,HOU,4,0,16,2,6,.333,1,3,.333,1,3,.333,.417,5,6,.833,0,1,1,4,2,0,0,1,10,benneel01
27,Elmer Bennett,PG,26,DEN,5,0,59,4,13,.308,2,6,.333,2,7,.286,.385,2,4,.500,0,3,3,7,2,0,10,6,12,benneel01
28,Travis Best,PG,24,IND,76,46,2064,274,620,.442,57,155,.368,217,465,.467,.488,149,197,.756,36,130,166,318,98,5,153,221,754,besttr01
29,Mookie Blaylock,PG,29,ATL,78,78,3056,501,1159,.432,221,604,.366,280,555,.505,.528,131,174,.753,114,299,413,463,212,20,185,141,1354,blaylmo01
30,Corie Blount,PF,28,LAL,58,18,1009,92,179,.514,1,3,.333,91,176,.517,.517,56,83,.675,113,163,276,35,22,26,50,121,241,blounco01
31,Muggsy Bogues,PG,32,CHH,65,65,1880,204,443,.460,60,144,.417,144,299,.482,.528,54,64,.844,25,116,141,469,82,2,108,114,522,boguemu01
32,Dexter Boney,SG,26,PHO,8,0,48,6,19,.316,1,6,.167,5,13,.385,.342,6,8,.750,3,3,6,0,2,1,1,3,19,boneyde01
33,Melvin Booker,PG,24,TOT,21,4,430,46,105,.438,12,37,.324,34,68,.500,.495,18,20,.900,7,22,29,53,3,2,27,28,122,bookeme01
33,Melvin Booker,PG,24,DEN,5,0,21,2,4,.500,1,2,.500,1,2,.500,.625,0,0,,0,1,1,3,0,0,7,0,5,bookeme01
33,Melvin Booker,PG,24,GSW,16,4,409,44,101,.436,11,35,.314,33,66,.500,.490,18,20,.900,7,21,28,50,3,2,20,28,117,bookeme01
34,Bruce Bowen,SF,25,MIA,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,1,0,0,0,bowenbr01
35,Donnie Boyce,SG,23,ATL,22,2,154,21,63,.333,2,16,.125,19,47,.404,.349,11,22,.500,7,8,15,13,10,4,16,17,55,boycedo01
36,Shawn Bradley,C,24,TOT,73,70,2288,406,905,.449,0,8,.000,406,897,.453,.449,149,228,.654,221,390,611,52,40,248,134,237,961,bradlsh01
36,Shawn Bradley,C,24,NJN,40,38,1228,199,456,.436,0,5,.000,199,451,.441,.436,81,122,.664,118,207,325,20,23,160,64,122,479,bradlsh01
36,Shawn Bradley,C,24,DAL,33,32,1060,207,449,.461,0,3,.000,207,446,.464,.461,68,106,.642,103,183,286,32,17,88,70,115,482,bradlsh01
37,Mark Bradtke,C,28,PHI,36,0,251,25,58,.431,0,0,,25,58,.431,.431,9,13,.692,26,42,68,7,5,5,9,34,59,bradtma01
38,Terrell Brandon,PG,26,CLE,78,78,2868,575,1313,.438,101,271,.373,474,1042,.455,.476,268,297,.902,48,253,301,490,138,30,178,177,1519,brandte01
39,Frank Brickowski,PF,37,BOS,17,2,255,32,73,.438,7,20,.350,25,53,.472,.486,10,14,.714,6,28,34,15,5,4,19,42,81,brickfr01
40,Scott Brooks,PG,31,NYK,38,0,251,19,39,.487,5,12,.417,14,27,.519,.551,14,15,.933,6,12,18,29,21,0,17,35,57,brooksc01
41,Chucky Brown,SF,28,TOT,70,1,757,78,154,.506,1,6,.167,77,148,.520,.510,47,70,.671,41,107,148,28,9,22,19,100,204,brownch01
41,Chucky Brown,SF,28,PHO,10,0,83,13,26,.500,0,0,,13,26,.500,.500,8,11,.727,3,13,16,4,0,2,4,14,34,brownch01
41,Chucky Brown,SF,28,MIL,60,1,674,65,128,.508,1,6,.167,64,122,.525,.512,39,59,.661,38,94,132,24,9,20,15,86,170,brownch01
42,Dee Brown,PG,28,BOS,21,2,522,61,166,.367,20,65,.308,41,101,.406,.428,18,22,.818,8,40,48,67,31,7,24,45,160,brownde01
43,Marcus Brown,PG,22,POR,21,0,184,28,70,.400,13,32,.406,15,38,.395,.493,13,19,.684,4,11,15,20,8,2,13,26,82,brownma01
44,Mike Brown,C,33,PHO,6,1,83,5,12,.417,0,0,,5,12,.417,.417,6,10,.600,9,16,25,5,1,1,2,9,16,brownmi01
45,P.J. Brown,PF,27,MIA,80,71,2592,300,656,.457,0,2,.000,300,654,.459,.457,161,220,.732,239,431,670,92,85,98,113,283,761,brownpj01
