Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional,season
1,Precious Achiuwa,C,23,TOR,55,12,1140,196,404,.485,29,108,.269,167,296,.564,.521,87,124,.702,100,228,328,50,31,30,59,102,508,achiupr01,2023
2,Steven Adams,C,29,MEM,42,42,1133,157,263,.597,0,1,.000,157,262,.599,.597,47,129,.364,214,271,485,97,36,46,79,98,361,adamsst01,2023
3,Bam Adebayo,C,25,MIA,75,75,2598,602,1114,.540,1,12,.083,601,1102,.545,.541,324,402,.806,184,504,688,240,88,61,187,208,1529,adebaba01,2023
4,Ochai Agbaji,SG,22,UTA,59,22,1209,165,386,.427,81,228,.355,84,158,.532,.532,56,69,.812,43,78,121,67,16,15,41,99,467,agbajoc01,2023
5,Santi Aldama,PF,22,MEM,77,20,1682,247,525,.470,94,266,.353,153,259,.591,.560,108,144,.750,85,286,371,97,45,48,60,143,696,aldamsa01,2023
6,Nickeil Alexander-Walker,SG,24,TOT,59,3,884,131,295,.444,61,159,.384,70,136,.515,.547,40,60,.667,15,86,101,108,32,21,55,88,363,alexani01,2023
6,Nickeil Alexander-Walker,SG,24,UTA,36,3,528,83,170,.488,35,87,.402,48,83,.578,.591,27,39,.692,8,51,59,76,24,14,45,58,228,alexani01,2023
6,Nickeil Alexander-Walker,SG,24,MIN,23,0,356,48,125,.384,26,72,.361,22,53,.415,.488,13,21,.619,7,35,42,32,8,7,10,30,135,alexani01,2023
7,Grayson Allen,SG,27,MIL,72,70,1972,245,557,.440,146,366,.399,99,191,.518,.571,114,126,.905,61,176,237,163,62,14,72,117,750,allengr01,2023
8,Jarrett Allen,C,24,CLE,68,68,2220,403,626,.644,1,10,.100,402,616,.653,.645,162,221,.733,221,445,666,113,54,84,93,153,969,allenja01,2023
9,Jose Alvarado,PG,24,NOP,61,10,1310,201,489,.411,83,247,.336,118,242,.488,.496,65,80,.813,28,113,141,186,67,10,81,125,550,alvarjo01,2023
10,Kyle Anderson,PF,29,MIN,69,46,1957,252,495,.509,43,105,.410,209,390,.536,.553,100,136,.735,66,302,368,335,78,63,103,146,647,anderky01,2023
11,Giannis Antetokounmpo,PF,28,MIL,63,63,2024,707,1278,.553,47,171,.275,660,1107,.596,.572,498,772,.645,137,605,742,359,52,51,246,197,1959,antetgi01,2023
12,Thanasis Antetokounmpo,PF,30,MIL,37,0,206,20,46,.435,0,8,.000,20,38,.526,.435,11,22,.500,15,29,44,15,3,3,12,22,51,antetth01,2023
13,Cole Anthony,PG,22,ORL,60,4,1552,277,610,.454,75,206,.364,202,404,.500,.516,152,170,.894,47,241,288,235,37,31,91,158,781,anthoco01,2023
14,OG Anunoby,SF,25,TOR,67,67,2386,421,885,.476,142,367,.387,279,518,.539,.556,140,167,.838,95,237,332,131,128,50,132,200,1124,anunoog01,2023
15,Ryan Arcidiacono,PG,28,TOT,20,4,172,9,37,.243,8,23,.348,1,14,.071,.351,0,0,,0,15,15,23,5,0,7,17,26,arcidry01,2023
15,Ryan Arcidiacono,PG,28,NYK,11,0,26,1,5,.200,1,3,.333,0,2,.000,.300,0,0,,0,4,4,2,2,0,1,3,3,arcidry01,2023
15,Ryan Arcidiacono,PG,28,POR,9,4,146,8,32,.250,7,20,.350,1,12,.083,.359,0,0,,0,11,11,21,3,0,6,14,23,arcidry01,2023
16,Deni Avdija,SF,22,WAS,76,40,2020,253,579,.437,69,232,.297,184,347,.530,.497,122,165,.739,74,413,487,211,65,29,123,209,697,avdijde01,2023
17,Deandre Ayton,C,24,PHO,67,67,2035,522,887,.589,7,24,.292,515,863,.597,.592,152,200,.760,172,495,667,115,37,53,120,190,1203,aytonde01,2023
18,Udoka Azubuike,C,23,UTA,36,4,359,59,72,.819,0,0,,59,72,.819,.819,7,20,.350,31,88,119,11,6,15,18,34,125,azubuud01,2023
19,Marvin Bagley III,C,23,DET,42,25,990,202,382,.529,19,66,.288,183,316,.579,.554,81,108,.750,94,175,269,36,19,30,46,81,504,baglema01,2023
20,Patrick Baldwin Jr.,SF,20,GSW,31,0,226,43,109,.394,32,84,.381,11,25,.440,.541,4,6,.667,1,39,40,11,6,4,11,14,122,baldwpa01,2023
21,LaMelo Ball,PG,21,CHO,36,36,1268,296,721,.411,144,383,.376,152,338,.450,.510,102,122,.836,42,189,231,304,46,11,129,118,838,ballla01,2023
22,Mo Bamba,C,24,TOT,49,7,769,117,241,.485,48,124,.387,69,117,.590,.585,41,62,.661,58,167,225,46,13,43,30,105,323,bambamo01,2023
